Date,Close/Last,Volume,Open,High,Low
10/27/2023,$21.18,238332,$21.38,$21.47,$21.00
10/26/2023,$21.52,80683,$22.00,$22.00,$21.34
10/25/2023,$21.85,87108,$22.07,$22.205,$21.70
10/24/2023,$22.22,157107,$22.52,$22.52,$21.78
10/23/2023,$22.29,80037,$22.79,$22.93,$22.23
10/20/2023,$22.80,79158,$23.07,$23.40,$22.68
10/19/2023,$23.01,140128,$23.56,$23.6989,$22.90
10/18/2023,$23.58,104400,$24.48,$24.48,$23.37
10/17/2023,$24.68,92090,$24.58,$25.1299,$24.50
10/16/2023,$24.56,115083,$24.63,$24.80,$24.35
10/13/2023,$24.37,118086,$25.00,$25.04,$24.17
10/12/2023,$24.85,85179,$25.77,$25.77,$24.33
10/11/2023,$25.83,106946,$25.32,$26.02,$24.96
10/10/2023,$25.16,85928,$25.61,$26.10,$25.03
10/09/2023,$25.41,66030,$25.19,$25.62,$25.19
10/06/2023,$25.36,115469,$24.70,$25.68,$24.3801
10/05/2023,$24.74,119476,$25.13,$25.44,$24.63
10/04/2023,$25.20,139491,$24.47,$25.26,$24.315
10/03/2023,$23.94,386004,$27.59,$27.59,$23.80
10/02/2023,$27.83,73051,$28.12,$28.845,$27.765
09/29/2023,$28.25,102849,$28.86,$28.86,$28.16
09/28/2023,$28.71,87329,$28.97,$29.14,$28.64
09/27/2023,$29.19,94480,$29.46,$29.89,$28.70
09/26/2023,$29.18,83118,$29.49,$30.00,$29.12
09/25/2023,$29.54,100818,$30.00,$30.35,$29.44
09/22/2023,$30.13,102583,$30.83,$30.86,$30.09
09/21/2023,$30.85,115704,$31.13,$31.42,$30.75
09/20/2023,$31.35,68194,$31.14,$31.71,$30.73
09/19/2023,$31.09,101968,$30.88,$31.44,$30.805
09/18/2023,$30.90,88300,$31.62,$31.68,$30.80
09/15/2023,$31.57,151189,$31.96,$32.09,$31.50
09/14/2023,$31.95,43464,$31.36,$32.00,$31.36
09/13/2023,$31.31,50836,$30.86,$31.39,$30.80
09/12/2023,$30.90,67366,$30.405,$30.91,$30.33
09/11/2023,$30.40,48342,$30.18,$30.41,$29.95
09/08/2023,$30.02,24733,$30.02,$30.27,$29.90
09/07/2023,$30.02,67841,$30.13,$30.13,$29.67
09/06/2023,$30.15,39695,$29.90,$30.22,$29.90
09/05/2023,$29.90,46626,$30.70,$30.70,$29.85
09/01/2023,$30.88,31950,$30.98,$31.4656,$30.74
08/31/2023,$30.82,53406,$31.38,$31.57,$30.77
08/30/2023,$31.32,37653,$31.42,$31.88,$31.28
08/29/2023,$31.57,69435,$30.75,$31.74,$30.56
08/28/2023,$30.99,57658,$30.77,$31.17,$30.68
08/25/2023,$30.40,57730,$30.71,$30.71,$30.15
08/24/2023,$30.65,34304,$30.70,$30.89,$30.47
08/23/2023,$30.92,35571,$30.55,$31.17,$30.48
08/22/2023,$30.64,42974,$30.56,$31.09,$30.42
08/21/2023,$30.34,61077,$30.48,$30.84,$30.30
08/18/2023,$30.43,71509,$30.35,$30.97,$30.35
08/17/2023,$30.50,50801,$29.95,$30.65,$29.95
